ride_id,ride_datetime,pickup_location,drop_location,distance_km,ride_duration_min,base_fare,demand_level,weather,event_nearby,traffic_level,driver_id,rider_id,driver_rating,rider_rating,payment_method,ride_status,total_fare,is_fraudulent,predicted_demand_next_hour
1,2025-01-08 02:37:00,Station,IT Park,10.54,21.3,68.36,Low,Clear,No,Medium,1054,2470,4.28,4.17,Cash,Completed,75.46923280511291,0,427
2,2025-01-28 20:09:00,University,University,14.64,44.5,66.48,Medium,Foggy,No,Low,1099,2301,4.36,4.9,Cash,No-show,106.32693704520217,0,778
3,2025-01-10 11:41:00,Mall,IT Park,22.58,57.5,54.51,Medium,Rainy,No,Low,1094,2077,4.12,3.97,Wallet,Completed,95.16749617936469,0,733
4,2025-01-05 17:23:00,University,IT Park,26.28,44.7,77.42,Medium,Clear,No,Medium,1076,2009,4.25,4.81,UPI,Completed,123.56742175763449,0,706
5,2025-01-26 12:42:00,University,Station,13.58,52.5,83.1,High,Foggy,Yes,Low,1035,2024,3.19,4.67,Cash,Completed,178.93131409889895,0,124
6,2025-01-30 14:09:00,Downtown,IT Park,2.27,5.1,31.02,Low,Clear,No,High,1011,2015,4.9,3.29,Wallet,No-show,44.56325752944946,0,628
7,2025-01-20 19:55:00,Mall,Mall,5.69,44.5,44.51,Low,Hot,No,Low,1061,2164,4.58,4.42,UPI,Completed,63.46779318292361,0,525
8,2025-01-18 15:51:00,Mall,IT Park,1.6,50.6,79.93,Medium,Foggy,Yes,High,1044,2013,3.75,3.87,UPI,Completed,124.3760104489634,0,128
9,2025-01-15 13:40:00,Mall,IT Park,19.94,7.2,57.06,Medium,Clear,No,Medium,1068,2347,4.13,3.5,Cash,Completed,104.87997845522034,0,422
10,2025-01-10 05:59:00,University,IT Park,10.64,52.9,76.37,Medium,Foggy,No,Medium,1025,2172,3.09,4.37,Wallet,Completed,117.45383079454007,0,952
11,2025-01-02 22:49:00,Station,Airport,16.73,19.1,54.29,Low,Clear,No,High,1048,2357,3.08,4.49,Wallet,No-show,60.90405576798622,0,412
12,2025-01-01 19:40:00,Mall,Mall,15.31,41.6,57.35,Low,Rainy,No,Medium,1032,2327,3.5,3.36,Cash,Completed,57.64915989186871,0,683
13,2025-01-06 04:45:00,IT Park,Mall,3.36,49.0,41.11,Low,Clear,No,Medium,1084,2200,4.38,4.83,Cash,Completed,42.21095925988429,0,369
14,2025-01-14 20:39:00,University,University,12.69,41.4,48.08,Low,Foggy,No,Low,1095,2485,4.7,4.5,Cash,Cancelled,53.72120501769117,0,861
15,2025-01-19 11:34:00,Downtown,Station,7.4,10.1,72.38,Medium,Hot,No,Medium,1004,2489,4.12,4.87,UPI,Completed,109.0088563452627,0,394
16,2025-01-17 20:46:00,Station,IT Park,13.13,37.8,60.32,Medium,Hot,No,Low,1038,2462,4.06,3.63,Cash,Completed,100.3250884228388,0,755
17,2025-01-20 18:06:00,IT Park,Downtown,6.9,35.2,84.2,High,Hot,No,Medium,1063,2378,3.8,4.88,Cash,Cancelled,157.61087980439845,0,885
18,2025-01-17 05:24:00,IT Park,Station,25.37,54.5,89.68,High,Clear,Yes,Medium,1047,2076,3.32,3.74,Credit Card,Completed,152.20567365819457,0,322
19,2025-01-16 08:06:00,Downtown,Station,6.05,27.2,67.92,Low,Rainy,No,Medium,1001,2164,3.24,3.11,Cash,Completed,87.72174491265542,0,174
20,2025-01-16 15:15:00,Station,Mall,28.86,22.7,83.08,Medium,Clear,Yes,Medium,1003,2372,4.52,4.53,Cash,Completed,109.0420999161047,0,201
21,2025-01-20 00:47:00,University,Station,13.06,46.2,51.48,Low,Hot,No,Medium,1086,2061,4.86,4.41,UPI,Completed,68.3391245647023,0,631
22,2025-01-22 05:51:00,Airport,IT Park,25.54,27.7,59.05,Low,Foggy,No,Medium,1062,2488,3.92,4.2,Wallet,Cancelled,62.6559092139356,0,728
23,2025-01-11 17:32:00,Station,IT Park,19.23,40.5,79.89,Medium,Hot,No,High,1064,2465,4.32,3.98,UPI,Completed,104.73828741786092,0,785
24,2025-01-21 22:32:00,Downtown,Airport,22.33,40.6,57.03,Low,Foggy,No,Medium,1017,2424,4.83,3.06,Credit Card,Completed,64.59710848125376,0,984
25,2025-01-19 09:34:00,IT Park,IT Park,23.26,53.8,71.2,Low,Rainy,Yes,Medium,1078,2245,3.18,4.25,Cash,Completed,88.37850777061387,0,272
26,2025-01-09 02:28:00,University,IT Park,15.64,37.9,42.98,High,Foggy,No,Medium,1062,2477,4.54,3.83,Cash,Completed,132.12788829836398,0,103
27,2025-01-16 09:00:00,Station,Mall,16.76,32.6,71.98,Medium,Clear,No,High,1035,2382,4.23,4.12,Cash,Completed,120.12354991790107,0,951
28,2025-01-04 19:58:00,Airport,IT Park,15.91,12.6,90.31,Medium,Clear,No,Medium,1013,2155,4.2,3.86,Cash,Completed,139.2976112172027,0,578
29,2025-01-23 14:49:00,Airport,Airport,18.05,11.4,90.8,Low,Clear,Yes,Medium,1035,2257,3.59,4.93,Cash,Cancelled,109.56674405242919,0,759
30,2025-01-02 07:17:00,Mall,Downtown,1.85,13.5,80.7,Low,Foggy,No,Medium,1043,2244,4.37,4.21,Cash,Completed,80.95096398377818,1,494
31,2025-01-28 08:57:00,Mall,Mall,12.47,14.5,82.2,High,Clear,No,Medium,1002,2162,4.59,4.5,Credit Card,Completed,149.2854843565114,0,725
32,2025-01-22 02:49:00,Downtown,Downtown,18.58,40.1,69.05,Low,Clear,No,Low,1056,2068,3.23,4.87,Cash,Completed,75.23415473058652,0,932
33,2025-01-01 05:46:00,Station,Mall,18.33,45.8,70.93,Medium,Clear,Yes,Medium,1077,2344,4.07,4.18,Cash,Completed,119.20287328036463,0,266
34,2025-01-24 13:47:00,Station,University,24.0,34.1,39.36,Low,Rainy,No,Medium,1051,2277,3.2,3.02,Cash,Completed,48.74205949902979,0,399
35,2025-01-30 20:58:00,IT Park,Station,20.0,50.6,61.07,Medium,Foggy,No,High,1054,2161,4.75,3.07,Credit Card,Completed,102.10690457225502,0,217
36,2025-01-25 01:54:00,IT Park,University,29.77,59.5,61.55,Low,Foggy,No,Medium,1016,2391,4.02,4.4,Cash,Completed,71.8494756996421,0,611
37,2025-01-09 10:43:00,IT Park,IT Park,9.23,50.1,97.09,High,Hot,No,Medium,1018,2449,4.62,3.56,Credit Card,Completed,196.11789704546467,0,711
38,2025-01-16 22:13:00,Mall,Downtown,11.42,43.2,60.18,High,Foggy,No,Low,1007,2489,3.74,4.16,UPI,Completed,126.39287935081816,0,885
39,2025-01-14 03:51:00,Station,IT Park,12.13,34.3,68.45,Medium,Rainy,Yes,High,1045,2259,3.25,3.4,Cash,No-show,97.9819163985292,1,274
40,2025-01-19 07:34:00,Station,Station,14.51,29.7,67.33,Low,Foggy,No,High,1036,2492,3.08,3.54,Wallet,Completed,81.70203325684284,0,258
41,2025-01-12 11:20:00,Airport,Mall,25.24,9.6,74.57,High,Rainy,No,Low,1041,2307,3.56,4.01,Credit Card,Completed,172.30248979943676,0,483
42,2025-01-03 23:34:00,Mall,Station,7.84,27.0,82.38,Medium,Rainy,Yes,Low,1094,2335,3.49,4.95,UPI,Completed,106.31468671895776,0,326
43,2025-01-13 17:00:00,University,Airport,23.5,55.1,45.75,Medium,Foggy,No,Medium,1042,2095,4.12,4.23,Credit Card,Completed,94.8288398614724,0,137
44,2025-01-25 20:39:00,Mall,Station,12.75,49.4,67.01,Medium,Hot,No,Medium,1007,2438,3.04,4.87,Credit Card,Completed,116.53418941125209,0,562
45,2025-01-03 10:33:00,University,Airport,18.45,16.9,87.81,Low,Clear,No,Medium,1015,2464,4.04,4.92,UPI,Completed,100.572190424079,0,530
46,2025-01-27 01:33:00,Airport,Station,19.34,30.7,62.42,Low,Clear,No,Low,1060,2458,3.78,3.42,Cash,Completed,74.18109531693631,0,809
47,2025-01-04 00:50:00,Downtown,Airport,11.81,49.9,49.49,Medium,Foggy,Yes,Low,1040,2246,4.15,3.62,Cash,Completed,81.20269978581675,0,747
48,2025-01-28 02:20:00,Station,Downtown,15.87,8.7,75.83,Low,Foggy,No,Medium,1083,2221,4.4,4.54,Credit Card,Completed,88.73274081638516,0,203
49,2025-01-05 06:18:00,Airport,IT Park,12.98,26.3,87.66,Medium,Rainy,No,Medium,1037,2123,4.27,4.73,UPI,Completed,115.54092895690704,1,292
50,2025-01-26 22:42:00,Station,IT Park,3.0,51.9,34.42,Medium,Foggy,Yes,Medium,1066,2187,4.97,4.04,Cash,Completed,55.7613082366469,0,349
51,2025-01-04 08:44:00,IT Park,University,13.68,27.2,84.38,High,Rainy,No,Medium,1055,2262,3.28,4.99,Credit Card,Completed,167.65364825686498,0,112
52,2025-01-22 12:17:00,Downtown,IT Park,3.82,9.3,87.52,High,Hot,No,Low,1077,2413,3.86,3.02,Wallet,Completed,168.35690402874513,0,666
53,2025-01-06 19:41:00,Downtown,Mall,12.75,34.8,62.31,High,Foggy,No,Medium,1095,2273,3.85,3.6,UPI,Completed,143.6050116461996,0,955
54,2025-01-10 04:31:00,Airport,Station,18.19,52.4,98.83,Low,Clear,Yes,Low,1080,2373,3.83,4.25,Wallet,Completed,115.76162551770088,0,696
55,2025-01-18 01:13:00,Downtown,University,17.8,37.5,85.07,Low,Clear,No,Medium,1056,2060,4.33,3.94,Wallet,Completed,91.77927902365295,0,720
56,2025-01-21 22:24:00,University,Mall,20.22,17.4,84.16,Medium,Foggy,Yes,Medium,1044,2406,3.98,3.23,Credit Card,Completed,125.67872044411712,0,654
57,2025-01-23 05:40:00,Downtown,Mall,3.76,26.1,82.35,Low,Rainy,No,Low,1057,2408,4.03,3.74,UPI,Completed,95.94339946503044,0,487
58,2025-01-05 15:44:00,Station,Airport,19.91,29.8,40.54,Low,Clear,Yes,Low,1006,2125,3.86,3.05,Cash,Completed,55.630586776534834,0,170
59,2025-01-19 02:29:00,Station,IT Park,10.05,36.9,45.21,Medium,Rainy,No,Low,1092,2337,4.98,4.29,Cash,Cancelled,92.20679160898302,0,879
60,2025-01-15 20:11:00,Station,Downtown,12.57,46.8,62.48,Medium,Foggy,No,Medium,1032,2341,4.86,4.79,Credit Card,Completed,92.92228233703106,0,670
61,2025-01-27 00:35:00,Station,Downtown,25.88,10.4,48.48,High,Foggy,No,High,1074,2051,3.62,4.77,Cash,Completed,119.36510883393026,0,537
62,2025-01-28 22:36:00,University,University,1.26,53.9,59.07,Low,Clear,No,Low,1018,2178,3.22,4.4,Cash,Completed,78.43719563019388,0,143
63,2025-01-30 16:07:00,Mall,Downtown,18.06,5.7,92.19,Low,Foggy,Yes,High,1068,2139,4.68,3.93,Wallet,Completed,105.31290085118717,0,371
64,2025-01-08 14:22:00,IT Park,Station,18.36,25.4,87.7,Low,Hot,No,Low,1073,2440,4.99,4.02,Wallet,Completed,107.37321608319971,0,113
65,2025-01-04 14:42:00,Airport,Downtown,12.5,6.5,74.1,High,Hot,No,High,1007,2327,3.59,3.27,UPI,Completed,139.2233913492423,0,470
66,2025-01-30 17:31:00,Station,University,7.87,26.6,90.07,Medium,Clear,No,Medium,1008,2170,3.72,3.68,Wallet,Completed,114.32111514082115,0,211
67,2025-01-01 20:00:00,Downtown,Downtown,7.81,33.9,84.86,High,Hot,Yes,Medium,1064,2039,4.88,3.38,Cash,Completed,163.92181724272325,0,478
68,2025-01-27 21:31:00,Station,Station,26.63,33.1,60.03,High,Rainy,No,Medium,1007,2069,4.42,4.64,UPI,Completed,149.2846101962495,0,413
69,2025-01-28 16:35:00,Downtown,Airport,13.82,14.1,44.07,Medium,Clear,No,Medium,1041,2236,3.59,4.83,UPI,Completed,65.07828986945019,0,514
70,2025-01-29 11:10:00,IT Park,University,10.6,40.5,65.99,Medium,Clear,No,High,1040,2048,4.16,4.07,Credit Card,Completed,97.89796153184975,0,839
71,2025-01-01 10:50:00,IT Park,Airport,14.01,7.5,81.54,Medium,Rainy,Yes,Medium,1003,2381,4.89,4.46,Wallet,Completed,119.06485193828148,0,584
72,2025-01-27 08:51:00,IT Park,Airport,20.41,46.9,60.55,Medium,Hot,No,Medium,1017,2057,4.62,3.24,UPI,Completed,102.68733999455202,0,268
73,2025-01-28 18:21:00,Downtown,Airport,5.23,57.1,76.67,Medium,Hot,No,Low,1066,2277,4.48,4.22,Cash,Completed,106.15452075334986,0,987
74,2025-01-05 00:49:00,Station,Mall,14.03,23.7,36.6,Medium,Hot,No,Low,1079,2338,4.47,4.41,UPI,Completed,71.11710479065525,0,902
75,2025-01-10 00:29:00,IT Park,IT Park,18.05,33.4,82.36,High,Clear,No,High,1093,2099,3.36,3.91,UPI,Completed,165.70333180602796,0,345
76,2025-01-10 08:51:00,University,Mall,28.51,25.8,86.89,High,Clear,No,Medium,1052,2404,4.65,3.49,Credit Card,Completed,181.88397602855758,0,365
77,2025-01-01 01:13:00,Downtown,IT Park,8.32,5.4,79.48,Medium,Hot,No,Medium,1022,2015,3.55,4.75,Cash,Completed,106.38944026169537,0,948
78,2025-01-01 10:07:00,Downtown,Airport,11.42,26.2,97.71,Medium,Foggy,No,Medium,1004,2325,4.86,4.49,Cash,Completed,125.30126617459689,0,342
79,2025-01-01 13:01:00,Station,University,12.0,48.5,87.87,Medium,Hot,No,High,1006,2461,3.73,4.8,Wallet,Cancelled,136.06454562301627,0,769
80,2025-01-26 05:00:00,Downtown,IT Park,18.56,37.8,93.22,Low,Rainy,No,Medium,1038,2179,4.72,4.64,Cash,Completed,100.95540469763364,0,399
81,2025-01-10 03:29:00,Downtown,Station,11.35,10.6,95.35,Low,Clear,Yes,Medium,1026,2332,3.53,4.98,UPI,Completed,110.6618012758212,0,426
82,2025-01-15 18:20:00,IT Park,Station,16.47,51.6,86.09,Medium,Rainy,No,Medium,1011,2062,4.03,3.38,Cash,Completed,124.45795686189629,0,629
83,2025-01-27 22:41:00,Station,Downtown,23.67,34.2,77.2,Medium,Rainy,No,Medium,1090,2119,3.21,3.17,Cash,Completed,105.76763039382169,0,694
84,2025-01-26 18:57:00,IT Park,IT Park,21.46,51.3,30.4,Low,Clear,Yes,Low,1017,2469,4.32,3.67,UPI,Completed,37.23204521866068,0,946
85,2025-01-25 23:59:00,IT Park,University,13.94,36.9,62.61,High,Foggy,No,High,1088,2037,4.67,3.26,Credit Card,Cancelled,120.69866781923517,0,842
86,2025-01-26 22:04:00,Station,Mall,26.06,35.8,69.98,Low,Hot,Yes,Medium,1092,2134,4.44,4.05,Wallet,Completed,72.84700308107443,0,441
87,2025-01-25 15:46:00,Airport,Airport,17.19,10.8,51.28,Low,Rainy,No,High,1099,2455,4.05,4.27,Wallet,Cancelled,54.6419489553322,0,864
88,2025-01-01 19:17:00,IT Park,Downtown,16.66,14.2,52.27,Medium,Clear,No,Low,1031,2026,3.09,4.16,Credit Card,Completed,102.12515467122114,0,778
89,2025-01-02 00:04:00,University,Station,1.99,58.5,97.28,Low,Rainy,No,Low,1077,2490,4.87,3.52,UPI,Completed,99.8917271512262,0,653
90,2025-01-17 01:47:00,University,Mall,29.61,17.6,92.42,Low,Hot,No,High,1035,2496,4.41,4.82,Wallet,Completed,96.0116245701826,0,348
91,2025-01-23 23:16:00,Downtown,Mall,4.57,58.8,89.44,Medium,Foggy,Yes,Medium,1016,2008,4.49,3.04,Credit Card,Completed,136.01285082337859,0,859
92,2025-01-15 03:17:00,University,Airport,7.7,34.3,58.42,Medium,Foggy,No,Medium,1079,2457,4.59,3.7,Credit Card,Completed,91.1186546525951,0,479
93,2025-01-20 04:12:00,Downtown,IT Park,2.5,12.5,30.96,Medium,Foggy,Yes,Medium,1018,2475,4.5,4.44,Credit Card,Completed,74.17775170416647,0,897
94,2025-01-29 01:42:00,Airport,Station,19.56,10.5,35.62,Medium,Clear,No,Medium,1062,2004,3.88,4.53,Wallet,Completed,84.77473274038218,0,631
95,2025-01-19 02:46:00,Station,University,7.52,16.5,51.85,Medium,Clear,No,Medium,1027,2021,4.47,3.83,Wallet,Completed,82.61804280759145,1,993
96,2025-01-04 12:08:00,Station,Mall,6.22,55.9,31.1,Low,Foggy,No,Low,1035,2415,4.25,3.03,Wallet,Completed,32.012054476521726,0,963
97,2025-01-12 22:06:00,Station,Airport,3.57,27.8,31.2,High,Hot,No,High,1045,2149,4.71,4.24,Wallet,Completed,115.41927122960367,0,480
98,2025-01-16 20:33:00,University,University,4.0,26.7,94.16,Low,Hot,No,High,1035,2488,4.6,3.13,Cash,Cancelled,111.34621158465544,0,141
99,2025-01-13 20:13:00,Airport,IT Park,17.96,22.2,79.43,High,Clear,No,Low,1028,2025,3.08,3.22,Credit Card,Completed,162.7792430734773,0,444
100,2025-01-11 20:12:00,University,Station,20.96,13.1,51.63,Medium,Foggy,No,High,1009,2487,3.76,4.3,Cash,Completed,98.89667014547337,0,698
101,2025-01-28 19:20:00,University,IT Park,12.52,31.8,39.29,High,Hot,No,High,1076,2143,3.07,3.62,Credit Card,No-show,113.7722105909508,0,360
102,2025-01-14 11:12:00,Airport,Mall,14.92,12.2,65.81,Low,Hot,No,Medium,1015,2245,3.2,3.7,Wallet,Completed,84.43597105192224,0,405
103,2025-01-16 18:19:00,Airport,University,20.89,51.0,30.37,Medium,Hot,No,Medium,1021,2419,4.2,3.97,Wallet,Completed,52.11713348132035,0,908
104,2025-01-06 07:59:00,Airport,University,1.5,25.4,95.69,Low,Clear,No,Medium,1052,2433,4.75,4.96,Cash,Completed,109.23068644117434,0,961
105,2025-01-10 01:59:00,Airport,University,10.37,25.6,59.04,Low,Foggy,Yes,Low,1035,2043,3.24,4.93,UPI,Completed,72.1964531974539,0,339
106,2025-01-14 10:39:00,Station,Mall,29.22,31.1,58.16,Medium,Rainy,No,Medium,1097,2425,3.9,3.83,Wallet,Completed,98.66248396881127,0,778
107,2025-01-26 03:12:00,Mall,Mall,17.82,29.4,57.34,Low,Foggy,Yes,High,1051,2293,4.82,3.53,UPI,Completed,59.67505934316017,0,412
108,2025-01-20 17:07:00,Mall,IT Park,8.37,59.7,34.85,Medium,Foggy,No,Medium,1083,2185,4.63,3.61,Credit Card,Completed,65.6300559816178,0,830
109,2025-01-12 15:01:00,Airport,Downtown,16.13,35.0,74.68,Low,Clear,Yes,Medium,1055,2042,4.04,3.54,Cash,Completed,78.4116007898625,0,540
110,2025-01-20 09:40:00,Mall,IT Park,10.94,9.9,81.31,Medium,Hot,No,Low,1087,2431,4.54,4.06,UPI,Cancelled,120.49985952139623,0,232
111,2025-01-27 19:43:00,Mall,Station,16.44,38.4,77.33,Medium,Hot,No,Low,1077,2092,4.05,4.21,UPI,Completed,114.43361455345169,0,818
112,2025-01-22 06:54:00,Airport,Airport,4.65,13.3,39.69,Medium,Clear,No,Medium,1044,2317,3.32,3.98,Wallet,Completed,63.07709633181847,0,150
113,2025-01-26 02:39:00,Mall,University,4.85,6.7,70.52,Medium,Clear,No,Low,1065,2398,3.25,3.82,UPI,Completed,117.78729113421142,0,717
114,2025-01-23 11:14:00,University,Downtown,5.16,58.4,69.86,Medium,Clear,No,Medium,1093,2324,3.38,3.42,UPI,Completed,95.82849129015972,0,491
115,2025-01-21 16:17:00,Downtown,Airport,28.25,47.5,90.79,High,Clear,No,Medium,1088,2053,3.7,3.97,Credit Card,Cancelled,160.0710298693046,0,795
116,2025-01-21 08:47:00,Downtown,Downtown,22.25,58.9,56.54,Medium,Clear,No,Medium,1080,2084,4.86,3.68,Cash,Completed,103.09227587628845,0,812
117,2025-01-05 22:29:00,Airport,IT Park,5.71,31.3,56.0,Medium,Rainy,Yes,Medium,1025,2034,4.6,4.08,Wallet,Cancelled,93.38424972081125,0,622
118,2025-01-13 11:44:00,Station,Mall,6.46,34.3,73.3,High,Foggy,No,Medium,1087,2076,3.87,4.35,Wallet,Completed,170.09004880273102,0,865
119,2025-01-07 04:03:00,Airport,University,22.19,14.3,74.32,Medium,Foggy,No,Medium,1092,2353,3.99,4.27,UPI,Completed,103.59745552875424,0,607
